# t[s],p_a[Bar],p_b[Bar],T_1[C],T_2[C],N_el[W]
0,4.2,3.9,22.0,21.9,0
1,3.5,5.5,22.7,21.7,115
2,3.7,6.0,24.1,20.3,125
3,3.8,6.5,25.7,18.8,123
4,3.7,7.0,27.2,17.8,125
5,3.6,7.0,28.5,17.0,125
6,3.5,7.5,30.0,16.1,125
7,3.3,7.5,31.5,15.2,125
8,3.2,8.0,32.8,14.3,125
9,3.0,8.0,34.1,13.3,125
10,2.9,8.5,35.3,12.5,125
11,2.8,9.0,36.5,11.6,125
12,2.7,9.0,37.7,10.7,127
13,2.6,9.5,38.8,9.9,128
14,2.6,10.0,39.8,9.0,129
15,2.5,10.0,40.9,8.2,130
16,2.4,10.5,41.7,7.5,130
17,2.4,11.0,42.6,6.8,120
18,2.3,11.0,43.5,6.2,119
19,2.2,11.0,44.2,5.5,117
20,2.2,11.5,45.0,4.8,116
21,2.1,12.0,45.8,4.2,117
22,2.1,12.0,46.5,3.6,117
23,2.0,12.0,47.3,3.1,117
24,2.0,12.5,48.0,2.6,117
25,2.0,12.5,48.7,2.7,116
26,2.0,12.5,49.2,1.7,116
27,1.9,13.0,49.8,1.2,116
