# alpha,N_Al,N_0,I_Al,I_0,T
7.0,113.5+-0.8,226+-1,114.7+-0.8,230+-1,0.497+-0.004
7.1,112.0+-0.7,232+-1,113.1+-0.8,236+-1,0.477+-0.004
7.2,112.0+-0.7,240+-1,113.1+-0.8,245+-1,0.460+-0.004
7.3,113.5+-0.8,248+-1,114.7+-0.8,253+-1,0.452+-0.004
7.4,115.0+-0.8,255+-1,116.2+-0.8,260+-1,0.445+-0.004
7.5,113.5+-0.8,262+-1,114.7+-0.8,268+-1,0.427+-0.003
7.6,113.0+-0.8,269+-1,114.2+-0.8,275+-1,0.414+-0.003
7.7,114.5+-0.8,276+-1,115.7+-0.8,283+-1,0.409+-0.003
7.8,114.0+-0.8,281+-1,115.2+-0.8,288+-1,0.400+-0.003
7.9,112.0+-0.7,289+-1,113.1+-0.8,297+-1,0.381+-0.003
8.0,109.5+-0.7,295+-1,110.6+-0.8,303+-1,0.365+-0.003
8.1,109.0+-0.7,300+-1,110.1+-0.8,308+-1,0.357+-0.003
8.2,108.0+-0.7,308+-1,109.1+-0.7,317+-1,0.344+-0.003
8.3,106.0+-0.7,311+-1,107.0+-0.7,319+-1,0.334+-0.003
8.4,104.5+-0.7,317+-1,105.5+-0.7,326+-1,0.323+-0.003
8.5,101.5+-0.7,324+-1,102.4+-0.7,333+-1,0.307+-0.003
8.6,100.0+-0.7,328+-1,100.9+-0.7,338+-1,0.298+-0.002
8.7,100.5+-0.7,332+-1,101.4+-0.7,342+-1,0.296+-0.002
8.8,97.5+-0.7,337+-1,98.4+-0.7,347+-1,0.283+-0.002
8.9,95.0+-0.7,340+-1,95.8+-0.7,351+-1,0.273+-0.002
9.0,92.5+-0.7,348+-1,93.3+-0.7,359+-1,0.260+-0.002
9.1,89.5+-0.7,350+-1,90.2+-0.7,361+-1,0.250+-0.002
9.2,88.0+-0.7,353+-1,88.7+-0.7,364+-1,0.243+-0.002
9.3,84.5+-0.7,356+-1,85.1+-0.7,368+-1,0.231+-0.002
9.4,83.0+-0.6,359+-1,83.6+-0.7,370+-1,0.225+-0.002
9.5,81.0+-0.6,363+-1,81.6+-0.6,375+-1,0.217+-0.002
9.6,78.5+-0.6,367+-1,79.1+-0.6,379+-1,0.208+-0.002
9.7,76.0+-0.6,369+-1,76.5+-0.6,381+-1,0.200+-0.002
9.8,74.0+-0.6,370+-1,74.5+-0.6,383+-1,0.194+-0.002
9.9,72.0+-0.6,375+-1,72.5+-0.6,388+-1,0.187+-0.002
10.0,68.5+-0.6,375+-1,68.9+-0.6,388+-1,0.177+-0.002
