# Geiger-Müller Kennlinie
#
# t = 60 s
#U[V],N[Imp],I[A*10^-6]
320,9672,0
330,9689,0
340,9580,0
350,9837,0.3
360,9886,0
370,10041,0
380,9996,0
390,9943,0
400,9995,0.4
410,9980,0
420,9986,0
430,9960,0
440,10219,0
450,10264,0.7
460,10174,0
470,10035,0
480,10350,0
490,10290,0
500,10151,0.8
510,10110,0
520,10255,0
530,10151,0
540,10351,0
550,10184,1.0
560,10137,0
570,10186,0
580,10171,0
590,10171,0
600,10253,1.3
610,10368,0
620,10365,0
630,10224,0
640,10338,0
650,10493,1.4
660,10467,0
670,10640,0
680,10939,0
690,11159,0
700,11547,1.8

